,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean Significance,Median Significance,Mean VTA Significance,Median VTA Significance,Task Category
0,EPI,3839,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1252888441085815,0.7007193565368652,2.0929336547851562,1.3332889080047607,Block
1,EPI,3839,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.0774297714233398,0.6677505970001221,0.9150073528289795,0.6543654799461365,Phasic
2,EPI,5681,ofM,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5681/ses-ofM/sub-5681_ses-ofM_task-CogBl_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1349198818206787,0.7024785280227661,1.503463864326477,0.9895230531692505,Block
3,EPI,5681,ofM,JPogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-5681/ses-ofM/sub-5681_ses-ofM_task-JPogP_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1007312536239624,0.6752729415893555,0.6683948040008545,0.3709702491760254,Phasic
4,EPI,5682,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_cbv_pfstat.nii.gz,1.2280060052871704,0.7273942828178406,0.8710330128669739,0.660275936126709,Block
5,EPI,5682,ofMr2,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_cbv_pfstat.nii.gz,1.180091142654419,0.7053689956665039,1.5722615718841553,0.9411081075668335,Block
6,EPI,5683,ofM,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1958884000778198,0.7217718958854675,3.227358818054199,3.086658239364624,Block
7,EPI,5683,ofMr1,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1768399477005005,0.7174310088157654,1.305338740348816,1.0648021697998047,Block
8,EPI,5685,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_cbv_pfstat.nii.gz,1.230497121810913,0.737819254398346,2.284785747528076,1.4986307621002197,Block
9,EPI,5685,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.10760498046875,0.6871844530105591,1.235687494277954,0.5415509343147278,Phasic
10,EPI,5685,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1494026184082031,0.7044484615325928,2.500504970550537,1.4879010915756226,Block
11,EPI,6257,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1868109703063965,0.7205723524093628,2.2067692279815674,1.581425666809082,Block
12,EPI,6259,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofM/sub-6259_ses-ofM_task-CogB_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1738076210021973,0.7150863409042358,1.9656018018722534,1.5021628141403198,Block
13,EPI,6259,ofMr1,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-CogB_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1401288509368896,0.703595757484436,1.9779703617095947,1.67266845703125,Block
14,EPI,6259,ofMr1,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.0990139245986938,0.6739979982376099,0.648360013961792,0.29877763986587524,Phasic
15,EPI,6260,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofM/sub-6260_ses-ofM_task-CogB_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1838304996490479,0.7249243259429932,1.5750062465667725,1.1619582176208496,Block
16,EPI,6260,ofMr2,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-CogB_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1346063613891602,0.7026199102401733,1.8494943380355835,0.8491677045822144,Block
17,EPI,6260,ofMr2,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.0882068872451782,0.6769967079162598,0.9627171754837036,0.4515000283718109,Phasic
18,EPI,6467,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-CogB_acq-EPI_run-1_cbv_pfstat.nii.gz,1.149125337600708,0.7038901448249817,0.7249140739440918,0.4021933674812317,Block
19,EPI,6467,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1033087968826294,0.6840426325798035,1.3512905836105347,0.8079673051834106,Phasic
20,EPI,6468,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-CogB_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1288790702819824,0.6974117755889893,1.690489649772644,1.2567155361175537,Block
21,EPI,6468,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.0791174173355103,0.6694155931472778,1.6004945039749146,1.1683075428009033,Phasic
22,EPI,6471,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6471/ses-ofM/sub-6471_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1319307088851929,0.6956931352615356,0.8099182844161987,0.5421898365020752,Block
23,EPI,6471,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6471/ses-ofMr1/sub-6471_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1581255197525024,0.7131125926971436,1.0078569650650024,0.6043628454208374,Block
24,EPI,6560,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6560/ses-ofM/sub-6560_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1483466625213623,0.7039599418640137,1.183086633682251,0.7180219888687134,Block
