,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
0,EPI,3839,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,1.4343371391296387,1.2503620386123657,3839:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
1,EPI,3839,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.6550500988960266,-0.6742117404937744,3839:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
2,EPI,5681,ofM,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5681/ses-ofM/sub-5681_ses-ofM_task-CogBl_acq-EPI_run-0_cbv_tstat.nii.gz,-0.38731780648231506,-0.3855270743370056,5681:ofM:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
3,EPI,5681,ofM,JPogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-5681/ses-ofM/sub-5681_ses-ofM_task-JPogP_acq-EPI_run-1_cbv_tstat.nii.gz,-0.4764189124107361,-0.4297589063644409,5681:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
4,EPI,5682,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_cbv_tstat.nii.gz,0.7394314408302307,0.9530622363090515,5682:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
5,EPI,5682,ofMr2,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_cbv_tstat.nii.gz,1.8634101152420044,1.5790305137634277,5682:ofMr2:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
6,EPI,5683,ofM,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_cbv_tstat.nii.gz,3.076381206512451,3.353111505508423,5683:ofM:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
7,EPI,5683,ofMr1,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_cbv_tstat.nii.gz,-0.07585383206605911,-0.2280205935239792,5683:ofMr1:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
8,EPI,5685,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_cbv_tstat.nii.gz,2.305798292160034,2.1493263244628906,5685:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
9,EPI,5685,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.7943712472915649,-0.6749359369277954,5685:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
10,EPI,5685,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_cbv_tstat.nii.gz,2.2750017642974854,2.1399974822998047,5685:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
11,EPI,6257,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_cbv_tstat.nii.gz,1.7894477844238281,1.7233941555023193,6257:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
12,EPI,6259,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofM/sub-6259_ses-ofM_task-CogB_acq-EPI_run-0_cbv_tstat.nii.gz,1.6831892728805542,2.1492013931274414,6259:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
13,EPI,6259,ofMr1,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-CogB_acq-EPI_run-1_cbv_tstat.nii.gz,2.179187774658203,2.2996721267700195,6259:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
14,EPI,6259,ofMr1,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.24924246966838837,-0.31398093700408936,6259:ofMr1:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
15,EPI,6260,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofM/sub-6260_ses-ofM_task-CogB_acq-EPI_run-0_cbv_tstat.nii.gz,1.6017439365386963,1.5731035470962524,6260:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
16,EPI,6260,ofMr2,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-CogB_acq-EPI_run-1_cbv_tstat.nii.gz,0.8052735328674316,0.45683589577674866,6260:ofMr2:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
